entity,n,category,predicted occupation,title1,title2,title3,title4,title5,description1,description2,description3,description4,description5
Ken Shelton,24,person,businessperson,5 Questions with Ken Shelton,Ken Shelton For Commissioner,Steuben County Commissioners,Kenneth Shelton - Member - Shelton Investigations LLC | LinkedIn,Official Shelton Investigations Website,"A lifetime resident of Angola, Indiana, he is owner of Shelton Investigations, LLC, in Angola and was an Indiana State Police officer for 13 years before he ...","Ken Shelton For Commissioner. Mail checks to: 1341 East Maumee Street. Angola, IN 46703. Dear Steuben County Friends,. Sharing My Letter to a constituent:.",Middle District: Ken Shelton - Member. Overview The Board of County Commissioners is the chief legislative body in the County. The Board meets on the first ...,"View Kenneth Shelton's profile on LinkedIn, the world's largest professional community. ... Angola, Indiana, United States500+ connections.","Shelton Investigations of Angola, Indiana is a Private Investigations ... The new national director of NALI is Ken Shelton, a legal investigator in Angola, ..."
Eric Holcomb,24,person,politician,Gov. Holcomb to deliver address for Trine Commencement,FSSA: DFR: Steuben County,Trine closing campuses in response to Stay-At-Home order,Governor Eric Holcomb directs flags to be flown at half-staff - State of ...,Angola government students learn from local representative ...,"Feb 25, 2021 ... Eric Holcomb, 51st governor of the state of Indiana, will deliver the address at Trine University's Commencement on May 8.","Find an Agency Gov. Eric J. Holcomb. FSSA · DFR Home · About DFR · Employment Opportunities ... Angola, IN 46703. Telephone/fax number: 800-403-0864","Mar 23, 2020 ... To comply with Indiana Gov. Eric Holcomb's Stay-At-Home order, Trine University will close its Angola main campus, Fort Wayne Center for ...","Dec 6, 2021 ... INDIANAPOLIS – Governor Eric J. Holcomb is directing flags to be flown at half-staff to honor the life of Senator Bob Dole.","May 3, 2019 ... Denny Zent, R-Angola, told Angola High School students if he could ... Eric Holcomb ratified a two-year, $34 billion budget in late April."
Bob Dudley,23,person,businessperson,Sonangol and BP agree to advance BP's activities in Angola | News ...,Oil production begins at BP's PSVM project in offshore Angola,BP grows deepwater exploration portfolio with major win of Angola ...,TNK-BP manager arrested on suspicion of fraud | Reuters,Who is Bob Dudley? Five things to know about BP's new point man ...,"Dec 17, 2018 ... Bob Dudley, group chief executive. The agreements were signed in Luanda today by Chairman of the Board of Directors of Sonangol Carlos Saturnino ...","Feb 3, 2013 ... Bob Dudley. BP Exploration Angola has announced that oil production has commenced at Block 31 of the PSVM development area in offshore ...","In a ceremony today in Luanda, in the presence of state oil company Sonangol's president Manuel Vincente and BP group chief executive Bob Dudley, ...","Oct 19, 2012 ... ... with two managers arrested in 2008 amid a dispute over strategy that forced then-CEO Bob Dudley, who now heads BP, to flee Russia.","Jun 18, 2010 ... His work has taken him to the South China Sea, Angola, Algeria, and Egypt. In Vladimir Putin's Russia, while trying to extract oil and related ..."
Helder Pitta Gros,22,person,politician,Isabel dos Santos: Africa's richest woman accused of fraud - BBC ...,Portugal police: Banker in Angola scandal hangs himself | The ...,Attorney General's Office of Angola denies political interference ...,Angola seeks Portugal's help in major corruption case - ABC News,"Angola's dos Santos named suspect over alleged fraud, selling ...","Jan 23, 2020 ... Attorney General Helder Pitta Gros said the allegations related to ... Her father, Jose Eduardo dos Santos, was Angola's president for 38 ...","Jan 23, 2020 ... Ribeiro da Cunha's death occurred hours after Angola's attorney general, Helder Pitta Gros, speaking in the country's capital Luanda, ...","Apr 27, 2021 ... LUANDA, April 27 (Xinhua) -- The Attorney General of Angola, Helder Pitta Gros, on Tuesday said he denies receiving any direct orders from ...","Jan 23, 2020 ... Angolan attorney general Helder Pitta Gros announced late Wednesday in Luanda, the Angolan capital, that Dos Santos is an official suspect ...","Jan 22, 2020 ... Lusa quoted Angola's attorney general, Helder Pitta Gros, as telling a news conference in the Angolan capital Luanda that dos Santos had not ..."
Eugenio Laborinho,21,person,politician,Ministro ... - Portal Oficial do Governo da República de Angola,eugénio césar laborinho,"Angola: Quem é Eugénio Laborinho, o novo ministro do Interior ...",Notícias - Eugénio Laborinho é novo ministro do ... - Jornal de Angola,Governo angolano reconhece pela primeira vez a existência de ...,Perfil do Ministro. Eugénio César Laborinho. Ministro do Interior. Data de Nascimento: 10 de Janeiro de 1955.,"O Ministro do Interior, Eugénio César Laborinho, nasceu aos 10 de Janeiro de 1955, ... Militante do MPLA (Movimento Popular para Libertação de Angola).","Jul 26, 2019 ... Sem adiantar motivos, o Presidente de Angola fez várias mexidas no Governo. Eugénio Laborinho assume agora a pasta do Interior, mas o seu ...","Eugénio Laborinho é novo ministro do Interior. O Presidente da República, João Lourenço, exonerou hoje, os ministros do Interior, da Agricultura, ...","Feb 21, 2022 ... Ministro do Interior, Eugénio Laborinho, admitiu, no sábado, 19, que essas acções “deixam vulnerável a segurança transfronteiriça"" entre ..."
Arnaud Breuillac,21,person,businessperson,Arnaud Breuillac | Baker Hughes,New President of Exploration at TotalEnergies | Rigzone,"Fiscal terms, cost cuts drive Zinia tieback offshore Angola | Offshore",Total gets set to play ACCE card off Angola | Upstream Online,Arnaud Breuillac – World Policy Conference,"President Exploration and Production, Total. Arnaud Breuillac, 62, graduated from the Ecole Centrale de Lyon in 1981. He joined TOTAL in 1982 and has served ...","Sep 9, 2021 ... Terraz replaces Arnaud Breuillac, who will become a senior advisor to the ... Indonesia and Angola, and in refining management in France.","May 29, 2018 ... Arnaud Breuillac, president of Total Exploration & Production said the Zinia project “is also a good example of capex discipline and cost ...","Jul 5, 2018 ... Project push: Total's head of E&P Arnaud Breuillac Photo: BRUNO LEVY/ ... on a fresh new ultra-deepwater project in Block 32 off Angola.","Arnaud Breuillac, 63, graduated from the Ecole Centrale de Lyon in 1981. ... Indonesia and Angola as well as the Refining Division in France."
Charlie Yoder,20,person,politician,Charlie Yoder of Westview is the 2019-2020 Boys Basketball Player ...,Top 20 NECC Boys Basketball Players of 2018-19 – Around the ...,Westview senior Charlie Yoder speaks on being named an Indiana ...,Week 10 provides many candidates for IBCA Player of the Week ...,Girls' state finals standouts headline week 17 awards,"Apr 16, 2020 ... Charlie Yoder is the top uncommitted prospect in the state of Indiana as of April 16. It is about the only think that Yoder has yet to ...","Mar 6, 2019 ... Top 20 NECC Boys Basketball Players of 2018-19. Sam Frick Angola, Brady Bontrager, Central Noble, Charlie Yoder, Chris Paul, Churubusco, Connor ...","Apr 7, 2020 ... On April 6, Charlie Yoder was named the first Indiana All-Star in the history of Westview basketball. Although the Warriors fell short of ...","Jan 15, 2020 ... Westview senior Charlie Yoder, Hamilton Heights junior Gus Etchison, ... Linton-Stockton junior Lincoln Hale, Angola junior Hanna Knoll, ...","Mar 4, 2020 ... This is the second time this season Westview Senior Charlie Yoder has been named the winner for ... District-1 Girls: Hanna Knoll, Angola."
Juan Pickett,20,person,judge,"State v. Hebert, NUMBER 2016 KA 1372 | Casetext Search + Citator",Convicted killer loses appeal,"State v. Scott, 2018 KA 0438 | Casetext Search + Citator",State v. Sanders :: 1994 :: Louisiana Supreme Court Decisions ...,"John W Pickett Electric Company Profile | Cincinnati, OH ...","Apr 12, 2017 ... Honorable Juan W. Pickett, Judge Presiding Joseph L. Waitz, Jr. District Attorney Ellen Daigle Doskey ... Angola, LA Defendant/Appellant","Mar 7, 2019 ... District Judge Juan Pickett sentenced Scott to life in prison without ... out his sentence in the Louisiana State Penitentiary in Angola.","Feb 28, 2019 ... No. 737591 The Honorable Juan W. Pickett, Judge Presiding Joseph L. Waitz, Jr. ... Rhubin Scott, Jr. Rhubin Scott, Jr. Angola, Louisiana In Proper ...","Rhodes, Juan W. Pickett, Kristi S. Maiorana, Houma, for respondent. HALL, Justice[*]. On January 5, 1990, defendant, Norman Sanders, ...","Find company research, competitor information, contact details & financial data for John W Pickett Electric of Cincinnati, OH."
James Leblanc,19,person,critic,"Ball v. Leblanc, 988 F. Supp. 2d 639 | Casetext Search + Citator",JAMES LEBLANC SECRETARY LOUISIANA DEPARTMENT OF,Death row inmates sue Angola Prison over 'extreme' temperatures ...,"Corrections chief gets light questioning, praise during confirmation ...",Prison system can house inmates with coronavirus at shuttered ...,"Plaintiffs filed this lawsuit against Defendants James M. LeBlanc ... in charge of death row at the Louisiana State Penitentiary in Angola, Louisiana. (Doc.",JAMES LEBLANC SECRETARY LOUISIANA DEPARTMENT OF. PUBLIC SAFETY ... confined to the Louisiana State Penitentiary in Angola Louisiana filed a.,"Jun 11, 2013 ... The defendants are Department of Public Safety and Corrections and specifically its Secretary James LeBlanc, Angola Prison Warden Burl Cain ...","Advocate staff photo by MAYA LAU -- A sign outside the Louisiana State Penitentiary at Angola bore corrections secretary James LeBlanc's name on April 17, 2016.","May 15, 2020 ... LeBlanc himself directed Angola to shutter Camp J after years of complaints about inmate suicides, harsh solitary confinement practices and ..."
Caroline Tillman,19,person,critic,Longtime Louisiana Prisoner Who Maintained Her Innocence Dies ...,Louisiana Man on Death Row for 15 Years Becomes 300th Person ...,Angola death row inmate who gave false confession released after ...,The Penalty screening planned in Shreveport,Southeastern Louisiana women beat Alcorn State | News ...,"Nov 25, 2019 ... Photo courtesy of Caroline Tillman. ... known as Angola, argued that the substandard medical care they received violated their rights; ...","Sep 28, 2012 ... Thibodeaux is expected to walk out of Angola Prison today after an ... Thibodeaux's team included Denise LeBoeuf and Caroline Tillman of the ...","Sep 29, 2012 ... Thibodeaux's defense team included LeBoeuf and Caroline Tillman of the Capital Post-Conviction Project of Louisiana, Vanessa Potkin of The ...","Mar 7, 2018 ... Caroline Tillman, a staff attorney for Capital Appeals Project, ... More:Master carver: 'The only inmate at Angola allowed an Exacto knife'.","Dec 22, 2012 ... A death row inmate at the Louisiana State Penitentiary at Angola wants a ... was filed by Sarah L. Ottinger and Caroline Wallace Tillman, ..."
Johnny Walker Houma,18,person,judge,State Supreme Court affirms dismissal for Houma man's murder ...,Breaking: Louviere spared execution - The Times of Houma ...,Casino killer pleads guilty to murders,Gordon pleads guilty in casino murders - The Times of Houma ...,"After 7 years on death row, has justice been served?","Sep 29, 2020 ... District Judge Johnny Walker of Houma sentenced Quinn to life in ... Quinn remains incarcerated in the Louisiana State Prison in Angola.","Apr 21, 2015 ... Former deputy Chad Roy Louviere, who held employees of a Houma bank ... 18 months before Terrebonne Parish District Judge Johnny Walker, ...","Dec 13, 2007 ... HOUMA – More than a year of legal motions, hearings and ... Before District Judge Johnny Walker in a courtroom crowded with local ...","Dec 18, 2007 ... In District Judge Johnny Walker's court last Wednesday, Gordon admitted to ... life sentences at the Louisiana State Penitentiary in Angola.","Oct 15, 2006 ... Today, however, Chad Louviere remains in Angola prison, ... proceedings were assigned to District Judge John R. Walker of Houma."
Mike Danahay,18,person,politician,House panel narrowly kills bill to abolish tourism office overseen by ...,Mike Danahy - Systems Analyst - ESUCC | LinkedIn,House panel rejects bill that would require collective bargaining with ...,Stine donation helps rebuild homes in Southwest Louisiana,OFFICIAL CATHOLIC DIRECTORY,"Jun 25, 2019 ... Mike Danahay, D-Sulphur; and Girod Jackson III, D-Marrero. Jindal Executive Council Stephen Waguespack said the governor supports Henry's ...","View Mike Danahy's profile on LinkedIn, the world's largest professional community. Mike has 1 job listed on their profile. See the complete profile on ...","Jun 26, 2019 ... Joining Cromer in voting against the bill were Reps. Jared Brossett, D-New Orleans; Mike Danahay, D-Sulphur; Herbert Dixon, D-Alexandria; Girod ...","May 26, 2021 ... ... Stine CEO Dennis Stine, Sulphur Councilwoman Melinda Hardy, Sulphur Mayor Michael Danahay and Sulphur Councilwoman Joy Abshire.","Jun 6, 2021 ... Bishop – Most Reverend Michael W. Fisher, ordained June 23, 1990; ... Most Precious Blood, Angola ... Danahy, Sr. M. Jeanne Thomas, RSM."
Gabriele Ballowe,18,person,critic,Judges uphold Ballowe conviction in 2013 Evans hit-and-run death ...,Local judge ordered to review fatal hit-and-run conviction,"For family of Evans man killed in hit-and-run, a 'positive' ending ...",Former South Shore Beach Club co-owner charged in 2013 fatal hit ...,Suspect in Moss hit-and-run death could lose driver's license | Local ...,"Aug 3, 2020 ... A panel of state judges on Friday rejected an appeal from Gabriele P. Ballowe, the former Angola bar owner who at first refused to talk to ...","Jun 14, 2019 ... Gabriele Ballowe served one year in prison for death of old Barry Moss. ... A memorial was created in honor of Moss on Erie Road in Angola.","Aug 3, 2020 ... Gabriele Ballowe admitted to Justice Christopher Burns that she had reason ... “On December 21, I was driving down Route 5 in Angola when I ...","Jun 21, 2016 ... Gabriele Ballowe, 50, is charged with vehicular manslaughter, ... Barry Moss was walking or pedaling his bike on Route 5 in Angola on ...","Jan 10, 2015 ... Angola bar owner summoned by DMV in Evans man's. ... 347317. Gabrielle P. Ballowe is not required to testify at the hearing."
Kathy Armstrong,18,person,social activist,Kathleen Armstrong - Steuben County Community Foundation,"Common Council / City of Angola, Indiana","City of Angola - Overview, News & Competitors | ZoomInfo.com","Angola Investment Fund Account Board / City of Angola, Indiana",JDAI appears to be paying off in Steuben County | POPAI,"Kathy currently works as the coordinator of Steuben County JDAI, connecting with other community groups to reduce the number of children who end up in juvenile ...","Kathy Armstrong; karmstrong@angolain.org; 260-316-3633. District A. Gary Crum; gcrum@angolain.org; 260-665-3664. District D, Mayor Pro Tem.","View Employees ; Kathy Armstrong. JDAI Coordinator ; Amanda Cope. City Engineer ; Nathan Armstrong. IT Department Head ; Vivian Likes. Director, City of Department ...","Contact Council Member, Kathy Armstrong, Karmstrong@angolain.org for more information. **Update. The City of Angola is pleased to announce a Micro-grant ...","Dec 8, 2019 ... ANGOLA — The Juvenile Detention Alternatives Initiative is paying ... JDAI Coordinator Kathy Armstrong presented statistics showing three ..."
Jose Filomeno,17,person,critic,José Filomeno dos Santos: Son of Angola's ex-leader jailed for five ...,José Filomeno dos Santos - Wikipedia,Angola's Jose Filomeno dos Santos detained over 'fraud' - BBC News,Angola sentences ex-president's son to five-year jail for fraud ...,José Filomeno dos Santos sacked from Angola's $5bn wealth fund ...,"Aug 14, 2020 ... José Filomeno dos Santos was accused of stealing $500m from the national bank of Angola.","Jose Filomeno de Sousa dos Santos (born 9 January 1978) is an Angolan businessman, and the son of Angola's former President José Eduardo dos Santos, ...","Sep 25, 2018 ... Jose Filomeno dos Santos led oil-rich Angola's sovereign wealth fund during his father's rule. A son of Angola's ex-President Jose Eduardo ...","Aug 14, 2020 ... Jose Filomeno dos Santos was accused of embezzling $1.5bn from national sovereign wealth fund he oversaw for five years.","Jan 11, 2018 ... José Filomeno dos Santos has been removed as head of a $5bn wealth fund. The president of Angola, João Lourenço, has sacked the son of his ..."
Robert Besseling,17,person,critic,Is Angola's Anti-Corruption Drive Real or Cosmetic?,Robert Besseling Archives - How we made it in Africa,In The News – PANGEA-RISK,The objective of the action against Isabel dos Santos is to force her ...,Africa's reliance on Chinese loans has experts concerned about ...,"Jan 10, 2020 ... Is Angola's 'Terminator' president going after corruption or his ... Robert Besseling, director of risk assessment firm EXX Africa, ...","Is Angola's 'Terminator' president going after corruption or his political rivals? Press Office. Select Press Office Category, Phatisa, Exhibition Management ...",GTR Africa: PANGEA-RISK CEO Robert Besseling spoke on South African ... ANGOLA: RAMPING UP OIL AND GAS PRODUCTION TO MEET DEMAND FROM A SHIFTING MARKET.,"Jan 7, 2020 ... Lusa/VerAngola ... Sindika Dokolo, and Portuguese Mário da Silva, Robert Besseling said he was ""particularly interested in the choice of the ...","Feb 17, 2021 ... Chinese President Xi Jinping, third from left, meets with Angolan ... However, Pangea-Risk CEO Robert Besseling told CNBC that some of the ..."
Dan Caruso,17,person,businessperson,Caruso appears on Fox news segment about economy ...,"Dan Caruso - Angola, Indiana, United States | Professional Profile ...",Indiana billboard declares Michigan governor 'Indiana's Business ...,100+ "Dan Caruso" profiles | LinkedIn,"Steuben County Council June 9, 2015 Meeting Minutes The ...","Jul 29, 2021 ... ANGOLA — Local restaurant owner Dan Caruso was just featured on a Fox News segment about the labor situation in Indiana.","View Dan Caruso's professional profile on LinkedIn. ... Dan Caruso. Business Entrepreneur. Angola, Indiana, United States500+ connections.","Feb 21, 2021 ... Dan Caruso, owner of the Angola, Indiana restaurant Caruso's, ... a lot of that to Michigan restaurants being closed,” Caruso said.","View the profiles of professionals named ""Dan Caruso"" on LinkedIn. There are 100+ professionals named ""Dan ... 100+Results for ""Dan Caruso"" ... Angola, IN ...","Jun 9, 2015 ... the Steuben County Community Center Building, 317 S Wayne Street, Suite 2 H, Angola, IN. Present were Richard. Shipe, Jim Getz, Dan Caruso, ..."
Gary Crum,16,person,businessperson,Western States Bank CEO Gary Crum honored as University of ...,About Us,"Common Council / City of Angola, Indiana",Trash troubles lead to messy Angola streets | Heraldrepublican ...,Untitled,"May 30, 2018 ... LARAMIE –Gary Crum, Western States Bank chairman and Chief Executive Officer has been recognized as a distinguished alum by the University ...","Gary Crum, CFO Karen Griffith, Secretary Vicki Anderson, R.D.H. Todd Brandon, MD Margaret Frazier, RN Annette Lundgren Kathy Vaughn, RN Lynne Bercaw","The official website of the City of Angola, Indiana. ... Gary Crum; gcrum@angolain.org; 260-665-3664. District D, Mayor Pro Tem.","Mar 24, 2022 ... District A Council member Gary Crum had questioned both the recycling pickup and bulk pickup. Crum noted most recycling days seem to be ...","Jan 17, 2022 ... The regular meeting of the Common Council of the City of Angola, ... Council Members Gary L. Crum, David A. Olson, and Jerold D. McDermid."
Melanie Austin,16,person,politician,Department-Of-Connections,Key-Officers.pdf,Carrigg receives Military News' Hero at Home honor | News ...,Contact Us | Admissions | Weekend MBA - Dallas | McCombs ...,Directory of Courts & Clerks in Indiana,"John Bel Edwards, Burl Cain, warden of Louisiana State Prison in Angola ... Dixon Correctional center, David Daniel, Austin Daniel, Melanie Morgan Gueho, ...","Angola. LUANDA (E) Rua Houari Boumedienne #32, 011-244-222-641-000,. Fax 011-244-222-641-232, INMARSAT Tel 011-871-683-133-246,.","Jun 1, 2018 ... Army 1st Sgt. Joshua Carrigg, Austin Carrigg, and Melaine Carrigg pose in a photo with ... Nikolas and Melanie have complex medical needs.",Connect With a Student · MBA Admissions · Rodrigo Malta · Sharon Barrett · Emily Le · Christie Jenkins · Melanie Krugel.,"Melanie Kendrick, Magistrate. Marie Kern, Magistrate ... Angola, IN 46703. Pho: 260-668-1000 ... Austin Shadle, Commissioner. 301 East Main Street."
Zandre Campos Zandre Campos,16,person,businessperson,Zandre Campos – ABO Capital,Zandre Campos - CEO - ABO Capital | LinkedIn,Zandre Campos - Crunchbase Person Profile,Zandre Campos,"Meet the Investor: Zandre Campos, ABO Capital","Zandre Campos is one of the great, innovative business leaders and global entrepreneurs emerging out of Africa. Currently, he is chairman and CEO of ABO ...","Angola isn't a regular starting point for many African investors, but it is home for Zandre Campos, chief executive officer (CEO) of ABO Capital and noted ...","Currently, he is chairman and CEO of ABO Capital, formerly Angola Capital Investments (ACI). An Angola native, Campos quit his job with Sonangol, Angola's ...","Zandre Campos is chairman and CEO of Angola Capital Investments (ACI), an international investment firm that invests in companies in the healthcare, energy, ...","May 22, 2018 ... Angola isn't a regular starting point for many African investors, but it is home for Zandre Campos, chief executive officer (CEO) of ABO ..."
Thomas Ladner,16,person,critic,Thomas Ladner,Angola's Political Economy: Perspectives and Prospects,Swindling Angola's Central Bank,Thomas Ladner | Handelszeitung,Glamour-Anwalt Tom Ladner: Tamedia-Rundumschlag - Inside ...,"Aug 12, 2018 ... Although to date Angola's efforts have focused on severing ties to Jean-Claude Bastos de Morais' management of the Sovereign Wealth Fund, ...","Sep 30, 2020 ... some examples: Ernst Welteke, ex-Bundesbank. André Schneider, directeur de. Genève Aéroport. Thomas Ladner, corporate lawyer,. Switzerland.","Aug 12, 2018 ... As of December 2017 these loans from BNA funds to Thomas Ladner loans ... Massano had been CEO of Angolan Investment Bank (Banco Angolano de ...",PersonThomas Ladner. Folgen. mehr zu: Thomas Ladner ... Bastos droht die Abrechnung in Angola. Der Ex-Staatsfonds-Verwalter aus der Schweiz hat einen ...,"Nov 13, 2018 ... War juristisches Mastermind von verhaftetem Schweiz-Angolaner Bastos – Exit als Präsident Club zum Rennweg mit lauter Medienschelte."
Jim Getz,16,person,politician,Getz throws his hat in the ring for Board of Commissioners ...,Elected Officials,"Jim Getz (Steuben County Commissioner, District North, Indiana ...",County Council Members,Jim Getz is with Steve Swick on WLKI 100.3.... | Facebook,"Sep 2, 2021 ... ANGOLA — After a 2020 election cycle that saw shakeups and a shuffling of ... Steuben County Councilman Jim Getz, Lake George, announced on ...","Commissioners Lynne Liechty, North District Ken Shelton, Middle District Wil Howard, South District County Council Rick Shipe, President Jim Getz ...","Jim Getz (Republican Party) ran for election for Steuben County Commissioner, District North in Indiana. Getz was on the ballot in the Republican primary on ...","Jim Getz, Vice President. Bill Harter. Tony Isa. Rick Shipe, President ... Our Location. 317 South Wayne Street Angola, IN 46703 (260)668-1000","Sep 3, 2021 ... Jim Getz is with Steve Swick on WLKI 100.3. This morning, Jim announced his Republican candidacy for Steuben ... City of Angola Municipality."
Dyer Ball,16,person,businessperson,Angola's Dyer Ball blazing own trail in game of volleyball | WANE 15,Dyer Ball - Men's Volleyball - Ball State University Athletics,Dyer Ball officially becomes a Cardinal | Heraldrepublican | kpcnews ...,Dyer Ball - Hudl,Dyer•J•Ball (@Dyer_Ball_35) / Twitter,"Apr 29, 2020 ... ANGOLA, Ind. (WANE) – Angola High School senior Dyer Ball is blazing his own trail when it comes to the family business – and it's a path ...","Position: Opposite. Height: 6-6. Class: Sophomore. Hometown: Angola, Ind. Highschool: Angola. Bio; Related; Stats; Historical ...","Apr 30, 2020 ... He's also the Angola girls volleyball coach and owns the Ball Sports Academy in Angola. Arnie Ball, Dyer's grandfather, coached Purdue Fort ...","Watch Dyer Ball's videos and highlights on Hudl. More info: Angola High School - Men's Varsity Basketball / SF, PF / Class of 2020 / Angola, IN.","Grandpa Arnie Ball and Dad Lloy Ball (@LTPer) have been there. This week, @Dyer_Ball_35 ... ANGOLA — Dyer Ball made the choice to make a name for himself."
Sye Broussard,16,person,politician,"Aaron Broussard, Jefferson Parish to face class-action Katrina ...","Robert Odom Obituary (2014) - Clinton, LA - The Advocate",Man dies in Breaux Bridge fire,Full text of "L'Acadien",Crowley 6.22.18.indd,"May 30, 2012 ... Jefferson Parish and former Parish President Aaron Broussard have lost ... plaintiffs collectively sue Broussard and the parish for damages.",Results 1 - 32 of 32 ... ... Bess Kelley and husband Joe; Betty Sue Broussard and husband Donald. ... Parish and visiting your home at Angola with Ray Dreher.,"Irving Broussard Jr., 67, Breaux Bridge ... FUNERAL AT ANGOLA – An inmate's funeral, as shown here in this undated photo, ... child, Sye Iven Melancon.","Sloci Broussard, Slocy Broussard, Slephonie Broussord, Sue Broussard, ... Roy Irowcck, Hcolbcr Iroylor, Voloiic Ircodwoy, Angola lnodmy, Anjollquo Ireodwoy, ...","Angola Prison. In February of 1958, Caughorn es- ... sue critical to labor-intensive agriculture, ... Patti Sue Broussard. Ronda Broussard. Rose Venable."
Jim Banks,16,person,politician,U.S. Congressman Jim Banks,The Dilemma of Indiana's Jim Banks - The Atlantic,Contact | U.S. Congressman Jim Banks,"Feb. 1 - Robert Tiffany celebrates 100th birthday with style, honor ...",Indiana - Congressional District 3 Representative Jim Banks,"Keep up with the latest statements, press releases, constituent polls, news, & blog posts. Rep. Jim Banks Reacts to Veto Override. May 24, 2022. FORT WAYNE— ...","Jun 12, 2017 ... ANGOLA, Ind.—The congressman and I were sitting in the back of a car somewhere between Auburn and Fort Wayne, Indiana, when I turned and asked ...",Send Me An Email. I value all feedback from residents of my district. Please enter your zip code below to continue: Required fields are followed by * .,"Jan 31, 2022 ... Jim Banks, R-3rd, right, congratulate Robert Tiffany during his 100th birthday party Saturday at the Veterans of Foreign Wars post in Angola.",Angola. Auburn. Avilla. Bluffton. Butler. Columbia ... 115th Congress of the United States. Indiana - Congressional District 3. Representative Jim Banks.
Brent Wilson,15,person,critic,"Board eliminated Wilson's contract, but he's leaving with cash in ...",Superintendent Brent Wilson sues Metropolitan School District of ...,Superintendent suing school board | Heraldrepublican | kpcnews.com,Q&A with Brent Wilson of Thornton Oliver Keller | East Idaho ...,"Chaudoin Drive, Angola, IN 46703 - Home Value & Property Details ...","May 6, 2021 ... ANGOLA — Certain members of the Metropolitan School District of Steuben County Board ... particularly that of Superintendent Brent Wilson.","Feb 26, 2021 ... ANGOLA — A lawsuit was filed late Wednesday against the Metropolitan School District of Steuben County board over an alleged Indiana Open ...","Mar 11, 2020 ... ANGOLA — Metropolitan School District of Steuben County Superintendent Brent Wilson is suing the school board for an alleged breach of ...","Nov 27, 2018 ... Brent Wilson: I am the brokerage services manager for our Idaho Falls office. With 74 agents/employees, TOK is the largest commercial real ...","124 Chaudoin Dr. Angola, IN 46703. Owner & Residents. Tammy Durham Brent Wilson James Mathews Mary Mathews. Features. Last Sale Price: $213K."
Jerry Mcdermid,15,person,politician,Hysong wins GOP nomination for Angola mayor | Heraldrepublican ...,"Common Council / City of Angola, Indiana",Angola High School Wrestling (@AngolaWrestling) / Twitter,Prom Royalty – Angola Prom 2020,Obituary for Stan Speheger,"May 8, 2019 ... ANGOLA — When November's general election comes around, ... with the exception of Jerry McDermid, who is a candidate for the open at-large ...",Jerry McDermid; Jmcdermid@angolain.org; 260-316-8260. District C. Kathy Armstrong; karmstrong@angolain.org; 260-316-3633. District A.,A Huge Shout to our grounds crew Jerry McDermid Marty Dygert Steve Blum and Coach ... Congrats to the following ANGOLA wrestlers on earning KPC All-Area ...,"Jerry McDermid, recently retired from Angola High School, was the prom's special guest emcee, who announced and presented them with their honors.","Feb 11, 2017 ... ... Jean Speheger of Angola, Indiana; a brother, Keith (Cheryl) Speheger of Granger, Indiana; a sister, Ann (Jerry) McDermid of Angola, ..."
Joe Soignet,15,person,lawyer,Raceland man appeals life sentence for double murder,Larose man convicted of raping girl asks Louisiana appeals court to ...,Four awaiting decisions in decades-old murder cases,State Of Louisiana VS Troy Young :: 2018 :: Louisiana Court of ...,Convicted killer asks for new trial,"Apr 4, 2022 ... Assistant District Attorney Joe Soignet, who handles appeals cases for ... is incarcerated in the Louisiana State Penitentiary in Angola.","Apr 7, 2022 ... Assistant District Attorney Joe Soignet, who handles appeals ... Falgout is incarcerated in the Louisiana State Penitentiary in Angola.","Dec 26, 2017 ... Lafourche Assistant District Attorney Joe Soignet said prosecutors looked at the circumstances of each crime and whether the defendant ...","... District Attorney State of Louisiana Joseph S. Soignet Assistant District ... Louisiana Pro Se Troy Young Angola, Louisiana BEFORE: GUIDRY, THERIOT, ...","Oct 8, 2018 ... Assistant District Attorney Joe Soignet, who handles appeals case for ... but did not declare life without parole is illegal, Soignet said."
Sheri Trine,15,person,businessperson,Gov. Pence awards Trines top honor,Longboat Key estate sells for $6.88 million,Board of Trustees,Sheri Trine - VP - VESTIL MFG. CORP | LinkedIn,"Dr. Brooks, Sheri Trine tour new TKE house","Oct 28, 2021 ... 28 – An Angola businesswoman and philanthropist was surprised this ... Sheri G. Trine learned of the honor when Pence gave the Sagamore to ...","Aug 1, 2018 ... Sellers Ralph and Sheri Trine of Angola, Indiana, bought the ... Centrem financed the purchase with a $4.1 million mortgage with the Trines.","Trine University's 29 member Board of Directors are leaders in all aspects of life throughout the entire ... Angola, Indiana ... Sheri G. Trine (2007-2019)","Others named Sheri Trine · Sheri Trine. President at Vesta Collections. Angola, IN · Sheri Trine. Product Manager at HM Health Solutions. Exton, PA.","The official house dedication will be Oct. 6 during Homecoming. Find Us. Trine University One University Avenue Angola, IN 46703 · 260.665 ..."
